"";"x"
"1";834
"2";726
"3";976
"4";468
"5";813
"6";206
"7";513
"8";926
"9";829
"10";712
"11";283
"12";893
"13";765
"14";165
"15";733
"16";254
"17";509
"18";618
"19";609
"20";254
"21";79
"22";810
"23";38
"24";540
"25";268
"26";815
"27";695
"28";895
"29";40
"30";131
"31";68
"32";39
"33";618
"34";99
"35";377
"36";843
"37";826
"38";41
"39";930
"40";47
"41";195
"42";422
"43";834
"44";485
"45";855
"46";590
"47";576
"48";468
"49";239
"50";238
"51";232
"52";989
"53";468
"54";70
"55";193
"56";651
"57";80
"58";813
"59";964
"60";722
"61";27
"62";771
"63";845
"64";387
"65";930
"66";34
"67";390
"68";233
"69";174
"70";199
"71";338
"72";84
"73";58
"74";11
"75";869
"76";191
"77";322
"78";30
"79";139
"80";237
"81";344
"82";963
"83";966
"84";242
"85";483
"86";876
"87";798
"88";686
"89";575
"90";664
"91";607
"92";802
"93";337
"94";479
"95";361
"96";977
"97";140
"98";42
"99";306
"100";82
"101";849
"102";111
"103";728
"104";115
"105";987
"106";895
"107";265
"108";420
"109";864
"110";99
"111";638
"112";567
"113";449
"114";951
"115";24
"116";804
"117";470
"118";842
"119";50
"120";650
"121";946
"122";973
"123";118
"124";415
"125";750
"126";409
"127";20
"128";723
"129";984
"130";980
"131";350
"132";97
"133";554
"134";522
"135";121
"136";272
"137";678
"138";702
"139";274
"140";682
"141";302
"142";643
"143";806
"144";938
"145";681
"146";766
"147";18
"148";197
"149";152
"150";798
"151";940
"152";753
"153";222
"154";8
"155";743
"156";547
"157";560
"158";668
"159";177
"160";267
"161";927
"162";982
"163";479
"164";699
"165";850
"166";355
"167";189
"168";448
"169";318
"170";698
"171";149
"172";924
"173";279
"174";480
"175";91
"176";326
"177";725
"178";59
"179";396
"180";550
"181";211
"182";476
"183";705
"184";849
"185";307
"186";149
"187";157
"188";615
"189";887
"190";1000
"191";826
"192";742
"193";884
"194";142
"195";100
"196";167
"197";208
"198";397
"199";26
"200";236
"201";809
"202";161
"203";827
"204";577
"205";718
"206";22
"207";558
"208";392
"209";391
"210";950
"211";847
"212";551
"213";312
"214";485
"215";78
"216";166
"217";685
"218";740
"219";341
"220";446
"221";379
"222";658
"223";62
"224";671
"225";331
"226";369
"227";662
"228";23
"229";714
"230";559
"231";437
"232";67
"233";745
"234";747
"235";116
"236";497
"237";905
"238";917
"239";415
"240";591
"241";274
"242";861
"243";673
"244";642
"245";866
"246";759
"247";212
"248";951
"249";791
"250";102
"251";896
"252";367
"253";553
"254";665
"255";933
"256";938
"257";776
"258";427
"259";320
"260";802
"261";206
"262";738
"263";298
"264";30
"265";138
"266";29
"267";507
"268";677
"269";898
"270";883
"271";801
"272";583
"273";40
"274";147
"275";715
"276";112
"277";740
"278";505
"279";64
"280";984
"281";823
"282";50
"283";53
"284";737
"285";973
"286";945
"287";10
"288";922
"289";566
"290";191
"291";748
"292";545
"293";366
"294";709
"295";169
"296";257
"297";417
"298";794
"299";992
"300";98
"301";522
"302";534
"303";78
"304";942
"305";491
"306";296
"307";330
"308";37
"309";662
"310";756
"311";177
"312";484
"313";822
"314";520
"315";935
"316";466
"317";4
"318";569
"319";324
"320";808
"321";656
"322";858
"323";120
"324";507
"325";809
"326";169
"327";909
"328";49
"329";660
"330";577
"331";635
"332";918
"333";607
"334";787
"335";326
"336";619
"337";493
"338";546
"339";527
"340";454
"341";108
"342";499
"343";637
"344";12
"345";891
"346";583
"347";619
"348";48
"349";7
"350";54
"351";146
"352";372
"353";993
"354";491
"355";840
"356";95
"357";127
"358";753
"359";341
"360";123
"361";466
"362";957
"363";145
"364";998
"365";889
"366";779
"367";209
"368";263
"369";171
"370";551
"371";569
"372";872
"373";88
"374";463
"375";543
"376";927
"377";44
"378";820
"379";919
"380";537
"381";640
"382";820
"383";16
"384";964
"385";68
"386";192
"387";83
"388";342
"389";181
"390";170
"391";472
"392";613
"393";332
"394";506
"395";503
"396";726
"397";413
"398";508
"399";231
"400";151
"401";142
"402";877
"403";958
"404";504
"405";667
"406";285
"407";312
"408";274
"409";503
"410";917
"411";613
"412";429
"413";695
"414";766
"415";522
"416";218
"417";277
"418";249
"419";360
"420";364
"421";562
"422";241
"423";906
"424";986
"425";722
"426";591
"427";33
"428";382
"429";326
"430";833
"431";420
"432";427
"433";467
"434";359
"435";947
"436";615
"437";483
"438";686
"439";404
"440";521
"441";555
"442";121
"443";423
"444";815
"445";154
"446";83
"447";786
"448";736
"449";755
"450";867
"451";893
"452";513
"453";19
"454";534
"455";360
"456";816
"457";195
"458";898
"459";462
"460";736
"461";459
"462";26
"463";733
"464";16
"465";33
"466";840
"467";265
"468";839
"469";376
"470";32
"471";57
"472";40
"473";529
"474";186
"475";28
"476";583
"477";755
"478";420
"479";325
"480";686
"481";490
"482";500
"483";760
"484";296
"485";917
"486";462
"487";330
"488";720
"489";410
"490";978
"491";964
"492";807
"493";881
"494";756
"495";520
"496";206
"497";872
"498";351
"499";833
"500";442
"501";85
"502";41
"503";960
"504";341
"505";215
"506";160
"507";190
"508";44
"509";240
"510";423
"511";66
"512";229
"513";191
"514";520
"515";126
